Latitude ,EF,Longhurst
Lat 16,0.519553073,NATR
Lat 17,1.431472081,NATR
Lat 18,1.61452514,NATR
Lat 19,0.839116719,NATR
Lat 20,0.827027027,NATR
Lat 21,1.824858757,NAST(E)
Lat 22,3.467532468,NAST(E)
Lat 23,0.663157895,NAST(E)
Lat 24,1.734513274,NAST(E)
Lat 25,1.229508197,NAST(E)
Lat 26,1.492063492,NAST(E)
Lat 27,1.949494949,NADR
Lat 28,1.508379888,NADR
Lat 29,0.623655914,NADR
